DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;DEPMUNI;CIUDADES28;Clase;P1987;P1988;P1988S1;P1989;P1990
600110;235;1;1;1;106.17368775;50001;1;Cabecera;1;1;2;1;1
600111;235;1;1;1;138.5118013;50001;1;Cabecera;1;1;1;1;1
600112;235;1;1;1;51.439777236;50001;1;Cabecera;2;1;3;2;1
600113;235;1;1;1;135.09782175;50001;1;Cabecera;2;1;3;1;1
600114;235;1;1;1;69.030462744;50001;1;Cabecera;2;1;2;2;1
600115;235;1;1;1;83.249929557;50001;1;Cabecera;1;1;2;1;1
600116;235;1;1;1;62.554208091;50001;1;Cabecera;2;1;3;2;1
600117;235;1;1;1;96.722059721;50001;1;Cabecera;2;1;2;2;1
600118;235;1;1;1;118.61118702;50001;1;Cabecera;2;1;3;1;1
600119;235;1;1;1;56.537638481;50001;1;Cabecera;1;1;3;1;1
600120;235;1;1;1;91.741760388;50001;1;Cabecera;2;1;2;1;1
600121;235;1;1;1;67.157236993;50001;1;Cabecera;2;1;3;1;1
600122;235;1;1;1;44.464942518;50001;1;Cabecera;1;1;3;1;1
600123;235;1;1;1;112.81047312;50001;1;Cabecera;2;1;3;2;1
600124;235;1;1;1;96.646152388;50001;1;Cabecera;2;1;2;2;1
600125;235;1;1;1;110.61063676;50001;1;Cabecera;2;1;3;1;1
600126;235;1;1;1;120.3559081;50001;1;Cabecera;2;1;3;2;1
600127;235;1;1;1;117.28914017;50001;1;Cabecera;2;1;3;2;1
600128;235;1;1;1;52.446657883;50001;1;Cabecera;1;1;3;1;1
600129;235;1;1;1;67.399965143;50001;1;Cabecera;2;1;3;2;1
600130;235;1;1;1;56.537638481;50001;1;Cabecera;2;1;3;2;1
600131;235;1;1;1;117.28914017;50001;1;Cabecera;2;1;3;2;1
600132;235;1;1;1;85.851940186;50001;1;Cabecera;1;1;2;2;1
600133;235;1;1;1;92.674952072;50001;1;Cabecera;1;1;2;1;1
600134;235;1;1;1;67.791981129;50001;1;Cabecera;1;1;2;1;1
600135;235;1;1;1;81.448218166;50001;1;Cabecera;2;1;2;2;1
600136;235;1;1;1;54.529544196;50001;1;Cabecera;2;1;3;2;1
600137;235;1;1;1;72.633638843;50001;1;Cabecera;1;1;2;2;1
600138;235;1;1;1;53.327490991;50001;1;Cabecera;2;1;3;1;1
600139;235;1;1;1;104.58910256;50001;1;Cabecera;1;1;2;1;1
600140;235;1;1;1;92.674952072;50001;1;Cabecera;1;1;2;2;1
600141;235;1;1;1;58.094422059;50001;1;Cabecera;3;1;1;1;1
600142;235;1;1;1;80.468486364;50001;1;Cabecera;1;1;2;1;1
600143;235;1;1;1;73.166355682;50001;1;Cabecera;1;1;3;2;1
600144;235;1;1;1;89.170585458;50001;1;Cabecera;1;1;3;1;1
600145;235;1;1;1;85.238031567;50001;1;Cabecera;3;1;3;2;1
600146;235;1;1;1;99.283676423;50001;1;Cabecera;1;1;2;1;1
600147;235;1;1;1;98.618237217;50001;1;Cabecera;1;1;3;2;1
600148;235;1;1;1;53.738826322;50001;1;Cabecera;2;1;3;2;1
600149;235;1;1;1;91.93757117;50001;1;Cabecera;2;1;3;1;1
600150;235;1;1;1;71.822371857;50001;1;Cabecera;2;1;3;2;1
600151;235;1;1;1;79.395725654;50001;1;Cabecera;2;1;3;2;1
600152;235;1;1;1;75.321307686;50001;1;Cabecera;2;1;3;2;1
600153;235;1;1;1;73.995396278;50001;1;Cabecera;2;1;2;2;1
600154;235;1;1;1;76.798196072;50001;1;Cabecera;1;1;3;2;1
600155;235;1;1;1;139.01242811;50001;1;Cabecera;1;1;2;1;1
600156;235;1;1;1;75.892714131;50001;1;Cabecera;2;1;3;2;1
600157;235;1;1;1;81.86497614;50001;1;Cabecera;1;1;3;1;1
600158;235;1;1;1;116.60887937;50001;1;Cabecera;1;1;2;1;1
600159;235;1;1;1;121.43155653;50001;1;Cabecera;1;1;2;1;1
600160;235;1;1;1;132.39149891;50001;1;Cabecera;1;1;1;2;1
600161;235;1;1;1;51.884254868;50001;1;Cabecera;1;1;3;1;2
600162;235;1;1;1;82.947940882;50001;1;Cabecera;2;1;2;2;1
600163;235;1;1;1;74.45491226;50001;1;Cabecera;2;1;2;2;1
600164;235;1;1;1;130.47230572;50001;1;Cabecera;1;1;2;1;1
600165;235;1;1;1;60.765517317;50001;1;Cabecera;1;1;3;1;1
600166;235;1;1;1;86.554832057;50001;1;Cabecera;2;1;2;2;1
600167;235;1;1;1;64.758764243;50001;1;Cabecera;1;1;1;1;1
600168;235;1;1;1;53.645657576;50001;1;Cabecera;2;1;1;2;1
600169;235;1;1;1;79.908391816;50001;1;Cabecera;1;1;3;1;1
600170;235;1;1;1;65.356224816;50001;1;Cabecera;1;1;4;1;1
600171;235;1;1;1;69.255900649;50001;1;Cabecera;1;1;4;1;1
600172;235;1;1;1;76.951000721;50001;1;Cabecera;2;1;3;2;1
600173;235;1;1;1;71.676696771;50001;1;Cabecera;1;1;3;2;1
600174;235;1;1;1;60.715778265;50001;1;Cabecera;1;1;4;1;1
600175;235;1;1;1;61.682065573;50001;1;Cabecera;1;1;1;2;1
600176;235;1;1;1;63.277795921;50001;1;Cabecera;2;1;1;2;1
600177;235;1;1;1;76.951000721;50001;1;Cabecera;1;1;3;1;1
600178;235;1;1;1;76.290216559;50001;1;Cabecera;2;1;1;1;1
600179;235;1;1;1;74.891320069;50001;1;Cabecera;2;1;1;2;1
600180;235;1;1;1;60.038198324;50001;1;Cabecera;1;1;3;4;1
600181;235;1;1;1;58.304439684;50001;1;Cabecera;1;1;4;1;1
600182;235;1;1;1;75.354223164;50001;1;Cabecera;2;1;3;1;1
600183;235;1;1;1;73.16751297;50001;1;Cabecera;2;1;1;2;1
600184;235;1;1;1;61.338845771;50001;1;Cabecera;2;1;1;2;1
600185;235;1;1;1;50.413257275;50001;1;Cabecera;1;1;6;1;1
600186;235;1;1;1;45.230110785;50001;1;Cabecera;1;1;6;1;1
600187;235;1;1;1;69.713306471;50001;1;Cabecera;2;1;1;2;1
600188;235;1;1;1;73.317034213;50001;1;Cabecera;1;1;3;1;1
600189;235;1;1;1;71.439687909;50001;1;Cabecera;1;1;3;2;1
600190;235;1;1;1;73.317034213;50001;1;Cabecera;1;1;3;1;1
600191;235;1;1;1;80.471965;50001;1;Cabecera;1;1;3;2;1
600192;235;1;1;1;53.838527298;50001;1;Cabecera;1;1;1;1;1
600193;235;1;1;1;63.804217533;50001;1;Cabecera;1;1;3;1;1
600194;235;1;1;1;63.75825531;50001;1;Cabecera;2;1;3;2;1
600195;235;1;1;1;54.630712181;50001;1;Cabecera;1;1;1;2;1
600196;235;1;1;1;80.353711153;50001;1;Cabecera;2;1;3;2;1
600197;235;1;1;1;54.56634745;50001;1;Cabecera;2;1;1;2;1
600198;235;1;1;1;76.951000721;50001;1;Cabecera;3;1;3;2;1
600199;235;1;1;1;72.484614291;50001;1;Cabecera;1;1;3;1;1
600200;235;1;1;1;91.725512678;50001;1;Cabecera;1;1;2;1;1
600201;235;1;1;1;94.000463097;50001;1;Cabecera;2;1;2;1;1
600202;235;1;1;1;73.438274994;50001;1;Cabecera;2;1;2;2;1
600203;235;1;1;1;153.06396802;54001;1;Cabecera;1;1;2;1;1
600204;235;1;1;1;95.315354992;73001;1;Cabecera;1;1;2;2;1
600205;235;1;1;1;76.441887294;73001;1;Cabecera;1;1;2;1;1
600206;235;1;1;1;52.542571545;73001;1;Cabecera;2;1;3;2;1
600207;235;1;1;1;51.030957664;73001;1;Cabecera;2;1;3;2;1
600208;235;1;1;1;67.924372171;73001;1;Cabecera;1;1;2;2;1
600209;235;1;1;1;60.023194671;73001;1;Cabecera;1;1;2;1;1
600210;235;1;1;1;65.702608582;73001;1;Cabecera;1;1;2;1;1
600211;235;1;1;1;60.729584905;73001;1;Cabecera;1;1;2;2;1
600212;235;1;1;1;50.862880366;73001;1;Cabecera;1;1;2;1;1
600213;235;1;1;1;62.664168729;73001;1;Cabecera;1;1;2;2;1
600214;235;1;1;1;83.676689576;73001;1;Cabecera;1;1;2;2;1
600215;235;1;1;1;53.465697989;73001;1;Cabecera;2;1;2;3;1
600216;235;1;1;1;57.570050538;73001;1;Cabecera;2;1;1;3;1
600217;235;1;1;1;52.07240578;73001;1;Cabecera;2;1;2;2;1
600218;235;1;1;1;66.731510101;73001;1;Cabecera;2;1;2;3;1
600219;235;1;1;1;61.366875489;73001;1;Cabecera;2;1;2;3;1
600220;235;1;1;1;71.594688071;73001;1;Cabecera;1;1;2;2;1
600221;235;1;1;1;59.219579297;73001;1;Cabecera;2;1;1;3;1
600222;235;1;1;1;66.731510101;73001;1;Cabecera;2;1;1;3;1
600223;235;1;1;1;69.826371819;73001;1;Cabecera;1;1;2;1;1
600224;235;1;1;1;74.739291313;73001;1;Cabecera;2;1;2;2;1
600225;235;1;1;1;52.091742;73001;1;Cabecera;1;1;2;1;1
600226;235;1;1;1;100.75275445;73001;1;Cabecera;2;1;3;1;1
600227;235;1;1;1;100.75275445;73001;1;Cabecera;2;1;3;2;1
600228;235;1;1;1;289.43874339;00000;0;Centro poblado y rur;1;1;2;1;1
600229;235;1;1;1;372.79305999;00000;0;Centro poblado y rur;1;1;1;1;1
600230;235;1;1;1;208.69244109;00000;0;Centro poblado y rur;1;1;1;3;1
600231;235;1;1;1;370.17131017;00000;0;Centro poblado y rur;2;1;2;2;1
600232;235;1;1;1;288.43152108;00000;0;Centro poblado y rur;1;1;2;1;1
600233;235;1;1;1;309.9167454;00000;0;Centro poblado y rur;1;1;2;2;1
600234;235;1;1;1;145.11956969;00000;0;Centro poblado y rur;1;1;1;1;1
600235;235;1;1;1;208.69244109;00000;0;Centro poblado y rur;1;1;2;1;1
600236;235;1;1;1;227.61373506;00000;0;Centro poblado y rur;1;1;1;3;1
600237;235;1;1;1;218.75269905;00000;0;Centro poblado y rur;1;1;1;1;1
600238;235;1;1;1;227.36282479;00000;0;Centro poblado y rur;1;1;1;1;1
600239;235;1;1;1;223.18206718;00000;0;Centro poblado y rur;1;1;2;1;1
600240;235;1;1;1;288.43152108;00000;0;Centro poblado y rur;1;1;2;3;1
600241;235;1;1;1;174.60726742;00000;0;Centro poblado y rur;1;1;1;1;1
600242;235;1;1;1;511.40048408;00000;0;Centro poblado y rur;1;1;1;1;1
600243;235;1;1;1;348.18267668;00000;0;Centro poblado y rur;1;1;8;1;1
600244;235;1;1;1;145.11956969;00000;0;Centro poblado y rur;1;1;1;1;1
600245;235;1;1;1;366.22115915;00000;0;Centro poblado y rur;1;1;1;1;1
600246;235;1;1;1;580.47827877;00000;0;Centro poblado y rur;1;1;1;1;1
600247;235;1;1;1;227.36282479;00000;0;Centro poblado y rur;1;1;1;2;1
600248;235;1;1;1;1172.0980205;00000;0;Cabecera;1;1;1;1;1
600249;235;1;1;1;1835.7044688;00000;0;Cabecera;1;1;2;2;1
600250;235;1;1;1;1427.4375826;00000;0;Cabecera;1;1;2;1;1
600251;235;1;1;1;1283.7951354;00000;0;Cabecera;1;1;2;2;1
600254;235;1;1;1;1094.0987815;00000;0;Cabecera;1;1;2;1;1
600255;235;1;1;1;811.4524757;00000;0;Cabecera;1;1;2;1;1
600256;235;1;1;1;1430.2120396;00000;0;Cabecera;1;1;2;1;1
600257;235;1;1;1;576.03589724;00000;0;Cabecera;1;1;2;3;1
600258;235;1;1;1;846.77501959;00000;0;Cabecera;1;1;2;1;1
600259;235;1;1;1;1061.5831997;00000;0;Cabecera;1;1;2;1;1
600260;235;1;1;1;1017.9901444;00000;0;Cabecera;1;1;2;2;1
600261;235;1;1;1;139.09248443;08001;1;Cabecera;2;1;1;2;1
600262;235;1;1;1;142.01967358;08001;1;Cabecera;1;1;1;1;1
600263;235;1;1;1;150.70924121;08001;1;Cabecera;2;1;1;1;1
600264;235;1;1;1;139.09248443;08001;1;Cabecera;1;1;1;1;1
600265;235;1;1;1;127.86054928;08001;1;Cabecera;1;1;1;1;1
600266;235;1;1;1;239.7724731;08001;1;Cabecera;1;1;1;1;1
600267;235;1;1;1;176.56700421;08001;1;Cabecera;2;1;1;1;1
600268;235;1;1;1;294.68768833;08001;1;Cabecera;3;1;1;2;1
600269;235;1;1;1;237.19061011;08001;1;Cabecera;2;1;1;1;1
600270;235;1;1;1;219.8881663;08001;1;Cabecera;2;1;1;1;1
600271;235;1;1;1;181.43498956;08001;1;Cabecera;1;1;1;1;1
600272;235;1;1;1;222.73627341;08001;1;Cabecera;2;1;2;1;1
600273;235;1;1;1;113.72050915;08001;1;Cabecera;1;1;1;1;1
600274;235;1;1;1;100.34259099;08001;1;Cabecera;2;1;1;2;1
600275;235;1;1;1;234.85440389;08001;1;Cabecera;3;1;1;2;1
600276;235;1;1;1;248.00783815;08001;1;Cabecera;2;1;1;2;1
600277;235;1;1;1;146.57075461;08001;1;Cabecera;2;1;1;3;1
600278;235;1;1;1;199.73470048;08001;1;Cabecera;2;1;1;2;1
600279;235;1;1;1;446.72439724;00000;1;Cabecera;2;1;1;1;1
600280;235;1;1;1;693.34602182;00000;1;Cabecera;2;1;1;1;1
600281;235;1;1;1;910.93663474;00000;1;Cabecera;1;1;1;1;1
600282;235;1;1;1;589.13190552;00000;1;Cabecera;2;1;1;1;1
600283;235;1;1;1;693.34602182;00000;1;Cabecera;2;1;1;1;1
600284;235;1;1;1;693.34602182;00000;1;Cabecera;2;1;1;1;1
600285;235;1;1;1;151.23673027;13001;1;Cabecera;1;1;1;1;1
600286;235;1;1;1;105.18836273;13001;1;Cabecera;1;1;1;2;1
600287;235;1;1;1;113.15117612;13001;1;Cabecera;2;1;1;1;1
600288;235;1;1;1;123.13598527;13001;1;Cabecera;2;1;1;1;1
600289;235;1;1;1;134.36953262;13001;1;Cabecera;1;1;1;1;1
600290;235;1;1;1;547.19224071;00000;1;Cabecera;1;1;1;1;1
600291;235;1;1;1;577.53851062;00000;1;Cabecera;2;1;1;3;1
600292;235;1;1;1;538.61961654;00000;1;Cabecera;2;1;1;1;1
600293;235;1;1;1;588.16647232;00000;1;Cabecera;2;1;1;1;1
600294;235;1;1;1;372.59840523;00000;1;Cabecera;2;1;1;1;1
600295;235;1;1;1;412.11677113;00000;1;Cabecera;2;1;1;1;1
600296;235;1;1;1;653.17823317;00000;1;Cabecera;2;1;1;1;1
600297;235;1;1;1;857.88732408;00000;1;Cabecera;1;1;3;2;1
600298;235;1;1;1;860.56395299;00000;1;Cabecera;1;1;2;2;1
600299;235;1;1;1;1003.317367;00000;1;Cabecera;1;1;3;1;1
600300;235;1;1;1;727.73747717;00000;1;Cabecera;1;1;2;1;1
600301;235;1;1;1;922.03280677;00000;1;Cabecera;1;1;2;1;1
600302;235;1;1;1;846.46902841;00000;1;Cabecera;1;1;2;2;1
600303;235;1;1;1;786.31215622;00000;1;Cabecera;1;1;2;1;1
600304;235;1;1;1;891.26313367;00000;1;Cabecera;1;1;2;1;1
600305;235;1;1;1;758.50715027;00000;1;Cabecera;1;1;2;1;1
600306;235;1;1;1;1058.8580262;00000;1;Cabecera;1;1;2;1;1
600307;235;1;1;1;864.59338671;00000;1;Cabecera;1;1;2;1;1
600308;235;1;1;1;869.44556232;00000;1;Cabecera;2;1;1;2;1
600309;235;1;1;1;879.05763811;00000;1;Cabecera;2;1;1;2;1
600310;235;1;1;1;978.36421688;00000;1;Cabecera;2;1;1;2;1
600311;235;1;1;1;1301.6519822;00000;1;Cabecera;1;1;1;2;1
600312;235;1;1;1;851.38950511;00000;1;Cabecera;2;1;1;1;1
600313;235;1;1;1;893.8065691;00000;1;Cabecera;2;1;1;2;1
600314;235;1;1;1;893.8065691;00000;1;Cabecera;2;1;2;2;1
600315;235;1;1;1;1122.4984995;00000;1;Cabecera;2;1;2;1;1
600316;235;1;1;1;470.9237347;00000;1;Cabecera;2;1;2;2;1
600317;235;1;1;1;420.32728006;00000;1;Cabecera;2;1;2;2;1
600318;235;1;1;1;532.02490065;00000;1;Cabecera;1;1;2;2;1
600319;235;1;1;1;470.9237347;00000;1;Cabecera;2;1;2;2;1
600320;235;1;1;1;478.82494773;00000;1;Cabecera;2;1;2;2;1
600321;235;1;1;1;395.00035464;00000;1;Cabecera;1;1;2;2;1
600322;235;1;1;1;461.2508469;00000;1;Cabecera;2;1;2;2;1
600323;235;1;1;1;601.21258275;00000;1;Cabecera;2;1;2;1;1
600324;235;1;1;1;526.87557434;00000;1;Cabecera;2;1;2;2;1
600325;235;1;1;1;478.82494773;00000;1;Cabecera;1;1;2;1;1
600326;235;1;1;1;884.18832734;00000;1;Cabecera;2;1;2;2;1
600327;235;1;1;1;1028.0889114;00000;1;Cabecera;1;1;3;1;1
600328;235;1;1;1;339.74408537;00000;1;Cabecera;2;1;3;1;1
600329;235;1;1;1;443.15672943;00000;1;Cabecera;1;1;3;1;1
600330;235;1;1;1;477.28571114;00000;1;Cabecera;2;1;1;1;1
600331;235;1;1;1;289.26406736;00000;1;Cabecera;1;1;1;1;1
600332;235;1;1;1;477.28571114;00000;1;Cabecera;1;1;1;2;1
600333;235;1;1;1;1157.0562694;00000;1;Cabecera;1;1;1;2;1
600334;235;1;1;1;684.2050459;00000;1;Cabecera;2;1;1;2;1
600335;235;1;1;1;1105.9955117;00000;1;Cabecera;1;1;1;1;1
600336;235;1;1;1;289.26406736;00000;1;Cabecera;1;1;1;2;1
600337;235;1;1;1;537.33572837;00000;1;Cabecera;1;1;1;2;1
600338;235;1;1;1;898.5680568;00000;1;Cabecera;2;1;1;2;1
600339;235;1;1;1;898.5680568;00000;1;Cabecera;2;1;1;2;1
600340;235;1;1;1;249.08595512;00000;1;Cabecera;1;1;2;3;1
600341;235;1;1;1;135.13765258;00000;1;Cabecera;1;1;2;1;1
600342;235;1;1;1;144.49401541;00000;1;Cabecera;1;1;2;1;1
600344;235;1;1;1;136.56499228;00000;1;Cabecera;2;1;1;2;1
600345;235;1;1;1;178.20896035;00000;1;Cabecera;2;1;2;2;1
600346;235;1;1;1;154.79441714;00000;1;Cabecera;2;1;1;2;1
600347;235;1;1;1;268.21788313;00000;1;Cabecera;2;1;1;1;1
600348;235;1;1;1;136.56499228;00000;1;Cabecera;2;1;1;1;1
600349;235;1;1;1;127.89176958;00000;1;Cabecera;2;1;1;1;1
600350;235;1;1;1;154.79441714;00000;1;Cabecera;2;1;1;2;1
600351;235;1;1;1;268.21788313;00000;1;Cabecera;2;1;1;2;1
600352;235;1;1;1;178.35352333;00000;1;Cabecera;2;1;2;1;1
600353;235;1;1;1;74.618895271;00000;1;Cabecera;2;1;2;2;1
600354;235;1;1;1;139.42396553;00000;1;Cabecera;3;1;2;2;1
600355;235;1;1;1;115.3834957;00000;1;Cabecera;2;1;3;2;1
600356;235;1;1;1;156.66214356;00000;1;Cabecera;3;1;1;2;1
600357;235;1;1;1;139.42396553;00000;1;Cabecera;2;1;2;2;1
600358;235;1;1;1;119.41283608;00000;1;Cabecera;3;1;2;2;1
600359;235;1;1;1;105.35013691;00000;1;Cabecera;3;1;2;2;1
